Date,Beaver,Berks,Centre,Chester,Cumberland,Erie,Fayette,Lehigh,Montgomery,Schuylkill,York
5/10/2020,9,114,2,91,9,4,0,72,144,14,6
5/11/2020,0,46,0,19,17,-1,0,18,32,2,11
5/12/2020,2,36,3,45,10,1,0,27,150,6,9
5/13/2020,16,32,4,26,2,1,0,32,71,19,10
5/14/2020,3,45,2,53,14,2,2,60,70,12,14
5/15/2020,4,63,1,52,15,2,0,18,114,16,11
5/16/2020,2,50,0,40,23,5,1,44,100,6,7
5/17/2020,-1,34,2,18,7,3,1,30,75,13,16
5/18/2020,16,42,2,35,3,8,2,21,140,4,6
5/19/2020,1,16,-1,46,15,2,1,22,51,5,9
5/20/2020,5,28,1,18,5,16,1,37,91,7,6
5/21/2020,0,21,3,50,20,14,0,36,114,7,11
5/22/2020,11,54,2,53,7,13,0,27,98,12,12
5/23/2020,2,7,5,44,12,20,1,15,98,16,9
5/24/2020,2,40,3,26,8,-1,0,23,61,9,20
5/25/2020,14,18,1,38,6,8,0,16,51,7,6
5/26/2020,2,16,1,26,4,6,1,9,22,8,13
5/27/2020,0,33,1,50,9,12,0,23,140,1,13
5/28/2020,9,21,1,51,7,7,0,20,73,5,14
5/29/2020,3,15,1,52,3,11,0,19,95,10,21
5/30/2020,7,14,1,62,5,21,0,9,100,7,9
5/31/2020,1,59,1,60,3,5,0,18,55,8,7
6/1/2020,0,13,1,55,6,16,0,5,32,0,6
6/2/2020,1,33,0,39,9,12,0,10,79,12,15
6/3/2020,3,25,0,40,10,7,0,22,70,3,9
6/4/2020,5,20,0,39,3,13,0,15,109,5,1
6/5/2020,-1,15,0,57,2,5,0,12,65,2,2
6/6/2020,0,17,1,55,6,31,0,17,126,3,9
6/7/2020,5,17,1,39,4,4,0,12,40,0,33
6/8/2020,0,17,1,49,3,11,0,13,28,1,4
6/9/2020,5,18,0,32,11,18,0,19,62,2,8
6/10/2020,2,15,1,27,5,12,0,5,37,5,8
6/11/2020,0,11,0,28,4,19,1,12,45,4,15
6/12/2020,1,19,7,58,17,12,-1,19,80,9,24
6/13/2020,0,22,2,22,16,12,0,13,31,4,16
6/14/2020,0,16,2,26,3,8,0,14,33,4,5
6/15/2020,2,5,2,20,10,9,0,4,32,6,7
6/16/2020,0,17,6,28,8,4,0,16,20,5,14
6/17/2020,2,9,-5,24,5,6,3,5,40,2,12
6/18/2020,1,9,0,30,7,19,2,19,24,4,14
6/19/2020,3,15,4,40,10,18,3,27,32,1,20
6/20/2020,2,14,4,20,6,9,0,48,30,10,26
6/21/2020,3,19,0,29,12,8,1,13,27,1,41
6/22/2020,1,12,4,27,6,3,0,6,20,1,55
6/23/2020,5,25,11,24,9,7,0,18,36,4,30
6/24/2020,4,9,1,22,8,9,0,21,29,2,19
6/25/2020,3,8,1,19,16,8,0,34,56,9,18
6/26/2020,1,13,1,29,5,13,2,23,57,6,10
6/27/2020,4,13,2,32,3,10,4,18,50,3,15
6/28/2020,6,11,1,19,7,7,1,9,26,1,13
6/29/2020,3,23,0,19,7,6,1,6,36,1,21
6/30/2020,18,6,0,34,5,12,4,15,35,0,38
7/1/2020,9,32,4,20,4,13,1,23,35,6,16
7/2/2020,10,4,6,20,10,6,10,22,31,3,24
7/3/2020,18,6,7,30,5,16,5,12,48,3,22
7/4/2020,14,2,6,19,10,4,3,11,27,1,18
7/5/2020,17,7,3,31,9,4,5,8,21,0,14
7/6/2020,5,3,1,8,4,11,7,6,24,1,4
7/7/2020,28,25,2,24,8,18,2,17,48,4,41
7/8/2020,15,17,2,29,10,12,11,20,36,2,38
7/9/2020,11,24,3,26,10,8,3,16,31,4,22
7/10/2020,13,16,4,36,8,5,15,21,41,4,77
7/11/2020,14,17,2,38,5,3,16,33,38,4,39
7/12/2020,14,12,2,20,12,5,2,6,28,3,20
7/13/2020,8,8,8,4,4,6,6,9,20,0,8
7/14/2020,25,10,2,37,10,22,11,11,31,3,14
7/15/2020,14,34,9,55,21,7,7,15,65,3,36
7/16/2020,9,19,0,21,3,9,3,30,27,10,34
7/17/2020,25,18,8,67,10,7,12,24,61,3,21
7/18/2020,31,17,7,49,13,6,20,22,31,18,12
7/19/2020,9,23,2,50,8,12,7,5,57,5,10
7/20/2020,10,24,9,31,8,6,10,18,34,6,21
7/21/2020,43,20,6,96,22,18,7,21,40,2,46
7/22/2020,35,24,5,37,12,8,9,15,60,2,15
7/23/2020,7,30,5,58,8,5,6,9,29,2,31
7/24/2020,31,58,2,63,24,20,7,15,74,5,21
7/25/2020,17,31,7,0,16,9,6,43,59,8,33
7/26/2020,15,9,43,0,13,9,4,21,48,5,9
7/27/2020,11,27,1,129,23,9,3,15,63,1,21
7/28/2020,37,36,8,71,23,6,22,30,66,11,14
7/29/2020,12,20,5,16,15,20,16,42,52,7,27
7/30/2020,13,25,-17,40,9,14,11,20,50,8,20
7/31/2020,23,27,4,49,14,18,24,15,38,5,26
